Time,GPS,Longitude,Latitude,Accelerometer,X,Y,Z,0C/Left Charge Connection Status/bit,0D/Right Charge Connection Status/bit,2A/SOC/%,2B/Battery Energy/kWh,2E/Total Current/A,2F/Total Voltage/%,2G/Lowest Battery Temp/F,2H/Highest Battery Temp/F,2I/Speed/mph,2J/Motor RPM/rpm,2K/Total Mileage/mile,2L/Range/mile,2M/Left Charge Status/bit,2N/Right Charge Status/bit,2T/WAVE Status/bit,2U/High Voltage/bit,2Z/Motor Voltage/V,3C/Regen/kWh,3D/Once Charged Energy/kWh
2020-01-01 01:33:01,A,-117.828588,33.645252,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:34:01,A,-117.828603,33.645232,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:35:01,A,-117.82873,33.64517,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:36:01,A,-117.828513,33.645163,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:36:56,A,-117.828578,33.645193,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:37:58,A,-117.828613,33.6452,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:39:01,A,-117.828617,33.64525,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:40:01,A,-117.828673,33.64518,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:41:01,A,-117.828685,33.645155,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:42:01,A,-117.828698,33.645138,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:43:01,A,-117.828643,33.645167,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:44:01,A,-117.828595,33.645192,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:45:01,A,-117.828672,33.645195,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:46:01,A,-117.828602,33.645203,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:47:01,A,-117.828558,33.645208,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:48:01,A,-117.828552,33.645203,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:49:01,A,-117.828553,33.645225,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:50:01,A,-117.828553,33.645245,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:50:58,A,-117.82857,33.64521,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:51:54,A,-117.82857,33.645232,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:53:01,A,-117.828612,33.6453,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:54:01,A,-117.828575,33.645287,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:55:01,A,-117.828548,33.645297,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:56:01,A,-117.82857,33.645282,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:57:01,A,-117.828557,33.645273,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:58:01,A,-117.828598,33.645233,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
2020-01-01 01:59:01,A,-117.828655,33.645205,F,0.02,0.02,0.02,N/A,N/A,99.9,288.2,1.7,634,55.4,77,0,0,33380.7,155.2,5,5,N/A,0,0,N/A,N/A
